40 RGB 1978 251 23 15 447 794 357 97 193 230 774 808 919 1208 324 736 139 120 200 254 876 3172 397 5981 47 149 209 159 361 965 382 8734 28 147 209 193 274 490 198 443 58 429 422 572 159 540 551 774 5 225 212 116 124 231 199 331 14 78 88 133 22 141 279 1016
41 RGB 2147 1249 244 10 215 862 1901 388 90 302 843 1502 1102 4967 394 849 29 117 310 370 523 4228 1426 8034 31 237 308 154 203 710 364 1486 7 12 39 27 32 95 93 291 44 374 399 754 28 270 492 497 0 7 12 1 0 5 18 5 13 37 10 94 21 209 162 357
42 RGB 727 515 8 49 195 196 120 80 192 95 89 151 197 293 100 401 177 153 82 177 291 888 228 1567 185 124 3332 827 364 720 1132 2495 201 164 523 461 526 574 850 1814 93 267 1181 1534 343 443 627 1248 18 61 72 61 268 594 293 424 67 397 222 513 513 1807 905 6786
43 RGB 239 60 7 11 199 124 156 99 212 78 140 133 293 1006 161 215 251 128 174 231 407 1336 239 844 282 206 228 335 855 2168 484 1843 263 139 113 236 1804 2049 218 885 218 315 1272 1092 373 469 1557 1712 84 165 106 89 363 480 279 414 57 245 357 373 1462 2836 1287 5544
44 RGB 0 0 0 0 0 2 8 468 0 0 954 557 2 60 837 1497 0 0 0 0 0 24 0 250 0 15 1356 224 1 10 1095 1723 10 15 2 12 23 115 14 37 22 42 1395 3900 417 670 750 19184 6 5 1 19 3 42 5 12 2 8 22 101 697 389 120 2877
45 RGB 0 0 0 3 1 1098 442 2990 0 37 237 11 34 319 340 765 0 0 0 0 1 20 0 209 1 282 2215 3313 41 95 2295 11333 30 78 110 499 42 89 77 304 41 79 1051 8435 108 128 790 1200 0 0 2 8 1 1 1 5 2 1 5 24 172 60 6 569
46 RGB 0 0 0 0 0 0 0 0 0 0 3 0 2 7 25 23 0 0 0 35 41 202 198 1506 0 1 1036 442 16 61 845 3133 0 0 0 4 6 18 56 214 57 2914 4176 9043 54 2674 1183 8271 0 1 17 10 6 2 9 6 17 49 288 462 217 377 690 1603
47 RGB 0 0 0 0 0 0 0 0 0 0 0 8 0 56 498 384 0 0 1 6 21 154 270 501 0 1 482 511 17 81 753 1788 0 0 5 6 7 19 104 188 77 1695 2881 7723 81 2391 1042 8972 0 3 19 8 6 4 10 12 22 126 547 408 212 418 952 6530
48 RGB 3196 1284 12 191 1322 2889 492 580 501 1982 1113 484 406 1412 1574 926 43 394 865 886 696 1383 340 797 11 95 234 355 220 865 148 1123 0 5 62 156 156 496 45 496 4 192 237 338 110 592 259 1145 0 0 0 3 31 65 11 1277 11 206 422 833 6 278 1393 4352
49 RGB 957 1001 16 424 1221 2435 202 1383 526 1162 1048 1960 144 2175 1385 1770 22 162 128 836 881 2029 174 296 7 38 118 185 164 737 180 1688 0 4 28 78 81 366 13 785 8 445 397 418 19 696 537 980 0 0 0 2 6 62 17 624 12 471 251 580 21 729 1784 5132
